electr/subj,1,2,3,5,6,7,8,9,10,n
FP1,1,,,,,,,,,1
FP2,,,1,,,,,,,1
AF7,,,,,,,1,,2,3
AF4,2,,,,3,3,,,,8
PO8,,,2,,,,,,,2
F5,2,,,,,,1,,,3
F7,,,1,,,,,,,1
F6,2,3,,,,1,,,,6
F8,1,,,,,,,,,1
FT7,1,,2,1,,3,,,,7
FC5,,,,2,1,,3,,,6
FC4,,,,,,,,,1,1
FCz,3,,,,,,,,,3
FT8,2,3,,,,,,,,5
M1,1,3,3,3,3,3,3,3,3,25
T7,,3,,3,1,3,,,3,13
C3,,,,1,,,,,,1
C5,,,,3,,,,,,3
PO7,,,1,,,,,,,1
C6,,,,1,,,2,,,3
T8,3,3,,2,1,,,,3,12
M2,3,3,3,3,3,3,3,3,3,27
TP7,2,,,1,,,,,2,5
TP8,,,,,3,3,,,3,9
P7,,,1,,,,,,,1
P8,,1,2,,,1,2,,,6
PO6,,,2,,,,1,,,3
PO5,,,1,,,,,,,1
O2,,1,2,,,,,,,3
CP3,,,,,,,,1,1,2
n=1,4,2,5,4,3,2,3,1,2,
n=2,5,0,5,2,0,0,2,0,2,
n=3,3,6,2,4,4,6,3,2,5,
n_cond1,6,6,6,8,6,6,5,3,7,
n_cond2,9,6,7,7,5,6,7,2,7,
n_cond3,8,8,8,6,4,7,5,2,7,
